,composition,Atoms,All Charges,Ind Charges,Cu(Uniq Charges),Mn(Uniq Charges),O(Uniq Charges),Is c_mixed,Raw_percentage,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Cu-2,Cu1,Cu2,Mn1,Mn2,Mn3,Mn4,O-2,O-1,formula,reduced_formula,mp-id,icsd_id,mp_FEPA,mp_eabovehull
0,Cu1Mn1O1,"[1, 1, 1]","(-2, 3, -1)","[[-2], [3], [-1]]",1,1,1,False,"[0.351, 0.153, 0.197]","[0.351, 0.153, 0.197]",0.010579491,0.07936200053713706,True,False,False,False,False,True,False,False,True,Cu1Mn1O1,MnCuO,[],[],NA,NA
1,Cu1Mn1O1,"[1, 1, 1]","(-2, 4, -2)","[[-2], [4], [-2]]",1,1,1,False,"[0.351, 0.139, 0.799]","[0.351, 0.139, 0.799]",0.038982411,0.2924263674614306,True,False,False,False,False,False,True,True,False,Cu1Mn1O1,MnCuO,[],[],NA,NA
2,Cu1Mn1O1,"[1, 1, 1]","(1, 1, -2)","[[1], [1], [-2]]",1,1,1,False,"[0.414, 0.171, 0.799]","[0.414, 0.171, 0.799]",0.056564406,0.42431761786600497,False,True,False,True,False,False,False,True,False,Cu1Mn1O1,MnCuO,[],[],NA,NA
3,Cu1Mn1O2,"[1, 1, 2]","(-2, 4, -1, -1)","[[-2], [4], [-1]]",1,1,1,False,"[0.351, 0.139, 0.197, 0.197]","[0.351, 0.139, 0.197]",0.009611433,0.07210011813504609,True,False,False,False,False,False,True,False,True,Cu1Mn1O2,MnCuO2,['mp-510589'],"[[30379, 158960]]",-1.5506655720287945,0.0
4,Cu1Mn1O2,"[1, 1, 2]","(1, 1, -1, -1)","[[1], [1], [-1]]",1,1,1,False,"[0.414, 0.171, 0.197, 0.197]","[0.414, 0.171, 0.197]",0.013946418,0.10461898713342051,False,True,False,True,False,False,False,False,True,Cu1Mn1O2,MnCuO2,['mp-510589'],"[[30379, 158960]]",-1.5506655720287945,0.0
5,Cu1Mn1O2,"[1, 1, 2]","(1, 2, -2, -1)","[[1], [2], [-2, -1]]",1,1,2,True,"[0.414, 0.403, 0.799, 0.197]","[0.414, 0.403, 0.498]",0.083087316,0.623279098873592,False,True,False,False,True,False,False,True,True,Cu1Mn1O2,MnCuO2,['mp-510589'],"[[30379, 158960]]",-1.5506655720287945,0.0
6,Cu1Mn1O2,"[1, 1, 2]","(1, 3, -2, -2)","[[1], [3], [-2]]",1,1,1,False,"[0.414, 0.153, 0.799, 0.799]","[0.414, 0.153, 0.799]",0.050610258,0.37965260545905705,False,True,False,False,False,True,False,True,False,Cu1Mn1O2,MnCuO2,['mp-510589'],"[[30379, 158960]]",-1.5506655720287945,0.0
7,Cu1Mn1O2,"[1, 1, 2]","(2, 1, -2, -1)","[[2], [1], [-2, -1]]",1,1,2,True,"[0.172, 0.171, 0.799, 0.197]","[0.172, 0.171, 0.498]",0.014647176,0.1098757198791077,False,False,True,True,False,False,False,True,True,Cu1Mn1O2,MnCuO2,['mp-510589'],"[[30379, 158960]]",-1.5506655720287945,0.0
8,Cu1Mn1O2,"[1, 1, 2]","(2, 2, -2, -2)","[[2], [2], [-2]]",1,1,1,False,"[0.172, 0.403, 0.799, 0.799]","[0.172, 0.403, 0.799]",0.055383484000000004,0.41545893719806765,False,False,True,False,True,False,False,True,False,Cu1Mn1O2,MnCuO2,['mp-510589'],"[[30379, 158960]]",-1.5506655720287945,0.0
9,Cu1Mn1O3,"[1, 1, 3]","(1, 2, -1, -1, -1)","[[1], [2], [-1]]",1,1,1,False,"[0.414, 0.403, 0.197, 0.197, 0.197]","[0.414, 0.403, 0.197]",0.032867874,0.24655819774718396,False,True,False,False,True,False,False,False,True,Cu1Mn1O3,MnCuO3,['mp-1176440'],[],-1.4386045998730352,0.035504623416663605
10,Cu1Mn1O3,"[1, 1, 3]","(1, 3, -2, -1, -1)","[[1], [3], [-2, -1]]",1,1,2,True,"[0.414, 0.153, 0.799, 0.197, 0.197]","[0.414, 0.153, 0.39766666666666667]",0.025189002,0.18895517660102423,False,True,False,False,False,True,False,True,True,Cu1Mn1O3,MnCuO3,['mp-1176440'],[],-1.4386045998730352,0.035504623416663605
11,Cu1Mn1O3,"[1, 1, 3]","(1, 4, -2, -2, -1)","[[1], [4], [-2, -1]]",1,1,2,True,"[0.414, 0.139, 0.799, 0.799, 0.197]","[0.414, 0.139, 0.5983333333333334]",0.03443169,0.25828915590310886,False,True,False,False,False,False,True,True,True,Cu1Mn1O3,MnCuO3,['mp-1176440'],[],-1.4386045998730352,0.035504623416663605
12,Cu1Mn1O3,"[1, 1, 3]","(2, 1, -1, -1, -1)","[[2], [1], [-1]]",1,1,1,False,"[0.172, 0.171, 0.197, 0.197, 0.197]","[0.172, 0.171, 0.197]",0.005794164,0.043464893205189196,False,False,True,True,False,False,False,False,True,Cu1Mn1O3,MnCuO3,['mp-1176440'],[],-1.4386045998730352,0.035504623416663605
13,Cu1Mn1O3,"[1, 1, 3]","(2, 2, -2, -1, -1)","[[2], [2], [-2, -1]]",1,1,2,True,"[0.172, 0.403, 0.799, 0.197, 0.197]","[0.172, 0.403, 0.39766666666666667]",0.027564662666666667,0.20677618359503325,False,False,True,False,True,False,False,True,True,Cu1Mn1O3,MnCuO3,['mp-1176440'],[],-1.4386045998730352,0.035504623416663605
14,Cu1Mn1O3,"[1, 1, 3]","(2, 3, -2, -2, -1)","[[2], [3], [-2, -1]]",1,1,2,True,"[0.172, 0.153, 0.799, 0.799, 0.197]","[0.172, 0.153, 0.5983333333333334]",0.01574574,0.11811659240861594,False,False,True,False,False,True,False,True,True,Cu1Mn1O3,MnCuO3,['mp-1176440'],[],-1.4386045998730352,0.035504623416663605
15,Cu1Mn1O3,"[1, 1, 3]","(2, 4, -2, -2, -2)","[[2], [4], [-2]]",1,1,1,False,"[0.172, 0.139, 0.799, 0.799, 0.799]","[0.172, 0.139, 0.799]",0.019102492,0.1432972512916412,False,False,True,False,False,False,True,True,False,Cu1Mn1O3,MnCuO3,['mp-1176440'],[],-1.4386045998730352,0.035504623416663605
16,Cu1Mn1O4,"[1, 1, 4]","(1, 3, -1, -1, -1, -1)","[[1], [3], [-1]]",1,1,1,False,"[0.414, 0.153, 0.197, 0.197, 0.197, 0.197]","[0.414, 0.153, 0.197]",0.012478374,0.09360646217200781,False,True,False,False,False,True,False,False,True,Cu1Mn1O4,MnCuO4,['mp-1221885'],[],-1.0147743426025286,0.2353235217708347
17,Cu1Mn1O4,"[1, 1, 4]","(1, 4, -2, -1, -1, -1)","[[1], [4], [-2, -1]]",1,1,2,True,"[0.414, 0.139, 0.799, 0.197, 0.197, 0.197]","[0.414, 0.139, 0.34750000000000003]",0.019997235000000002,0.15000916157603955,False,True,False,False,False,False,True,True,True,Cu1Mn1O4,MnCuO4,['mp-1221885'],[],-1.0147743426025286,0.2353235217708347
18,Cu1Mn1O4,"[1, 1, 4]","(2, 2, -1, -1, -1, -1)","[[2], [2], [-1]]",1,1,1,False,"[0.172, 0.403, 0.197, 0.197, 0.197, 0.197]","[0.172, 0.403, 0.197]",0.013655252000000001,0.10243480679351606,False,False,True,False,True,False,False,False,True,Cu1Mn1O4,MnCuO4,['mp-1221885'],[],-1.0147743426025286,0.2353235217708347
19,Cu1Mn1O4,"[1, 1, 4]","(2, 3, -2, -1, -1, -1)","[[2], [3], [-2, -1]]",1,1,2,True,"[0.172, 0.153, 0.799, 0.197, 0.197, 0.197]","[0.172, 0.153, 0.34750000000000003]",0.00914481,0.0685997479587644,False,False,True,False,False,True,False,True,True,Cu1Mn1O4,MnCuO4,['mp-1221885'],[],-1.0147743426025286,0.2353235217708347
20,Cu1Mn1O4,"[1, 1, 4]","(2, 4, -2, -2, -1, -1)","[[2], [4], [-2, -1]]",1,1,2,True,"[0.172, 0.139, 0.799, 0.799, 0.197, 0.197]","[0.172, 0.139, 0.498]",0.011906183999999998,0.08931418165611678,False,False,True,False,False,False,True,True,True,Cu1Mn1O4,MnCuO4,['mp-1221885'],[],-1.0147743426025286,0.2353235217708347
21,Cu1Mn1O5,"[1, 1, 5]","(1, 4, -1, -1, -1, -1, -1)","[[1], [4], [-1]]",1,1,1,False,"[0.414, 0.139, 0.197, 0.197, 0.197, 0.197, 0.197]","[0.414, 0.139, 0.197]",0.011336562,0.08504116497979795,False,True,False,False,False,False,True,False,True,Cu1Mn1O5,MnCuO5,[],[],NA,NA
